Date,Adj Close
2014-07-22,17.030001000000002
2014-07-23,16.93
2014-07-24,17.07
2014-07-25,16.879998999999998
2014-07-28,16.93
2014-07-29,16.82
2014-07-30,17.049999
2014-07-31,16.83
2014-08-01,17.08
2014-08-04,17.25
2014-08-05,17.200001
2014-08-06,17.16
2014-08-07,16.91
2014-08-08,16.809998999999998
2014-08-11,16.9
2014-08-12,16.91
2014-08-13,16.860001
2014-08-14,16.93
2014-08-15,16.969998999999998
2014-08-18,17.24
2014-08-19,17.389999
2014-08-20,17.24
2014-08-21,17.700001
2014-08-22,17.639999
2014-08-25,17.559998999999998
2014-08-26,17.51
2014-08-27,17.469998999999998
2014-08-28,17.469998999999998
2014-08-29,17.629998999999998
2014-09-02,17.790001
2014-09-03,17.91
2014-09-04,18.059998999999998
2014-09-05,18.08
2014-09-08,17.950001
2014-09-09,17.889999
2014-09-10,18.02
2014-09-11,18.0
2014-09-12,17.82
2014-09-15,17.58
2014-09-16,17.700001
2014-09-17,17.700001
2014-09-18,17.82
2014-09-19,17.52
2014-09-22,17.450001
2014-09-23,17.17
2014-09-24,17.25
2014-09-25,17.129998999999998
2014-09-26,17.290001
2014-09-29,17.34
2014-09-30,17.209999
2014-10-01,16.950001
2014-10-02,17.15
2014-10-03,17.35
2014-10-06,17.4
2014-10-07,17.290001
2014-10-08,17.809998999999998
2014-10-09,17.23
2014-10-10,16.18
2014-10-13,16.02
2014-10-14,15.93
2014-10-15,16.0
2014-10-16,16.299999
2014-10-17,16.5
2014-10-20,16.620001000000002
2014-10-21,16.59
2014-10-22,16.33
2014-10-23,16.719998999999998
2014-10-24,17.200001
2014-10-27,17.35
2014-10-28,17.51
2014-10-29,17.49
2014-10-30,17.57
2014-10-31,17.950001
2014-11-03,18.17
2014-11-04,18.09
2014-11-05,17.98
2014-11-06,18.23
2014-11-07,18.52
2014-11-10,18.68
2014-11-11,18.58
2014-11-12,18.559998999999998
2014-11-13,18.4
2014-11-14,18.49
2014-11-17,18.09
2014-11-18,18.34
2014-11-19,18.16
2014-11-20,18.32
2014-11-21,18.440001000000002
2014-11-24,18.620001000000002
2014-11-25,18.82
2014-11-26,18.83
2014-11-28,18.870001000000002
2014-12-01,18.43
2014-12-02,18.49
2014-12-03,18.49
2014-12-04,18.57
2014-12-05,18.82
2014-12-08,18.58
2014-12-09,18.41
2014-12-10,18.08
2014-12-11,18.129998999999998
2014-12-12,17.889999
2014-12-15,17.83
2014-12-16,17.629998999999998
2014-12-17,18.09
2014-12-18,18.700001
2014-12-19,18.99
2014-12-22,18.959999
2014-12-23,18.98
2014-12-24,19.26
